class,xmin,ymin,xwidth,ywidth,filename,height,width,xmax,ymax
Mask,195,68,46,57,0557_jpg.rf.e3696ec073ef6fe57f1071307a204e43.jpg,300,300,241,125
Mask,68,96,34,43,0557_jpg.rf.e3696ec073ef6fe57f1071307a204e43.jpg,300,300,102,139
None,117,70,40,77,0557_jpg.rf.e3696ec073ef6fe57f1071307a204e43.jpg,300,300,157,147
Mask,41,89,16,19,0557_jpg.rf.e3696ec073ef6fe57f1071307a204e43.jpg,300,300,57,108
Mask,282,58,12,18,0557_jpg.rf.e3696ec073ef6fe57f1071307a204e43.jpg,300,300,294,76
Mask,188,53,19,22,0562_jpg.rf.10c84765018bfd16ae3567fbcabfd7e3.jpg,300,300,207,75
Mask,137,63,16,23,0562_jpg.rf.10c84765018bfd16ae3567fbcabfd7e3.jpg,300,300,153,86
Mask,253,56,19,19,0562_jpg.rf.10c84765018bfd16ae3567fbcabfd7e3.jpg,300,300,272,75
Mask,100,70,16,17,0562_jpg.rf.10c84765018bfd16ae3567fbcabfd7e3.jpg,300,300,116,87
Mask,43,59,17,16,0562_jpg.rf.10c84765018bfd16ae3567fbcabfd7e3.jpg,300,300,60,75
None,68,56,15,26,0562_jpg.rf.10c84765018bfd16ae3567fbcabfd7e3.jpg,300,300,83,82
Mask,238,280,31,20,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,269,300
Mask,200,277,30,23,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,230,300
Mask,33,218,26,30,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,59,248
Mask,99,214,30,28,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,129,242
Mask,157,227,24,28,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,181,255
Mask,140,218,22,28,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,162,246
Mask,247,230,30,27,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,277,257
Mask,68,238,26,25,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,94,263
Mask,203,185,23,28,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,226,213
Mask,232,184,19,23,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,251,207
Mask,277,229,20,22,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,297,251
Mask,287,199,13,25,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,300,224
Mask,267,173,21,19,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,288,192
Mask,192,145,20,20,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,212,165
Mask,165,164,18,20,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,183,184
Mask,136,138,19,25,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,155,163
Mask,218,116,21,19,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,239,135
Mask,68,152,17,13,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,85,165
Mask,45,154,16,20,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,61,174
Mask,28,155,19,17,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,47,172
Mask,3,145,24,17,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,27,162
Mask,237,122,18,20,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,255,142
Mask,259,97,20,17,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,279,114
Mask,277,152,18,14,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,295,166
Mask,89,102,22,20,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,111,122
Mask,61,99,20,17,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,81,116
Mask,35,117,21,16,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,56,133
Mask,66,185,19,25,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,85,210
Mask,195,59,14,16,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,209,75
Mask,214,56,13,12,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,227,68
Mask,28,73,14,16,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,42,89
Mask,0,104,8,18,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,8,122
Mask,286,92,14,18,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,300,110
Mask,277,97,7,16,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,284,113
Mask,104,143,18,16,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,122,159
Mask,178,234,23,27,0563_jpg.rf.87246f33d7bc4fe60de9edcb6ba969fa.jpg,300,300,201,261
None,55,94,84,160,0569_jpg.rf.785e20738d3d47a68513bbedbb992a61.jpg,300,300,139,254
None,230,155,21,27,0569_jpg.rf.785e20738d3d47a68513bbedbb992a61.jpg,300,300,251,182
None,195,198,24,38,0569_jpg.rf.785e20738d3d47a68513bbedbb992a61.jpg,300,300,219,236
Mask,7,193,19,21,0569_jpg.rf.785e20738d3d47a68513bbedbb992a61.jpg,300,300,26,214
None,41,170,16,33,0569_jpg.rf.785e20738d3d47a68513bbedbb992a61.jpg,300,300,57,203
None,163,140,13,25,0569_jpg.rf.785e20738d3d47a68513bbedbb992a61.jpg,300,300,176,165
Mask,151,131,17,25,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,168,156
Mask,239,100,15,23,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,254,123
Mask,226,102,17,15,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,243,117
Mask,249,59,18,18,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,267,77
Mask,38,89,16,21,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,54,110
Mask,105,35,14,16,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,119,51
Mask,207,33,15,15,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,222,48
Mask,34,0,16,15,0579_jpg.rf.17572ca75613dfad61be942bc25ebbd7.jpg,300,300,50,15
Mask,198,229,27,31,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,225,260
Mask,268,197,32,30,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,300,227
Mask,101,209,30,43,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,131,252
Mask,62,234,30,66,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,92,300
Mask,2,197,29,31,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,31,228
Mask,59,138,25,35,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,84,173
Mask,131,147,28,34,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,159,181
Mask,182,152,20,33,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,202,185
Mask,211,156,25,29,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,236,185
Mask,225,112,20,21,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,245,133
Mask,276,108,13,21,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,289,129
Mask,204,105,21,23,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,225,128
Mask,172,102,20,23,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,192,125
Mask,158,131,21,26,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,179,157
Mask,146,101,19,18,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,165,119
Mask,129,89,18,20,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,147,109
Mask,70,77,16,21,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,86,98
Mask,46,77,20,22,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,66,99
Mask,8,66,16,20,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,24,86
Mask,0,42,11,12,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,11,54
Mask,29,63,13,17,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,42,80
Mask,110,74,12,12,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,122,86
Mask,122,78,12,12,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,134,90
Mask,90,56,12,13,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,102,69
Mask,139,57,14,16,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,153,73
Mask,162,77,12,15,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,174,92
Mask,186,83,12,13,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,198,96
Mask,222,76,10,12,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,232,88
Mask,233,74,9,12,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,242,86
Mask,244,75,15,13,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,259,88
Mask,260,76,13,16,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,273,92
Mask,285,79,13,8,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,298,87
Mask,242,48,11,12,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,253,60
Mask,198,70,13,13,0611_jpg.rf.2f5e01a0c0ffd25a6e6afc3769237b5a.jpg,300,300,211,83
Mask,217,89,19,30,0622_jpg.rf.77ad78359199421450ffe66fa5e01822.jpg,300,300,236,119
Mask,155,65,43,38,0622_jpg.rf.77ad78359199421450ffe66fa5e01822.jpg,300,300,198,103
Mask,104,64,35,46,0622_jpg.rf.77ad78359199421450ffe66fa5e01822.jpg,300,300,139,110
Mask,64,71,37,38,0622_jpg.rf.77ad78359199421450ffe66fa5e01822.jpg,300,300,101,109
Mask,203,119,63,70,0658_jpg.rf.8319acaec474121594423d8179bc6494.jpg,300,300,266,189
Mask,30,92,13,10,0658_jpg.rf.8319acaec474121594423d8179bc6494.jpg,300,300,43,102
None,164,82,12,20,0658_jpg.rf.8319acaec474121594423d8179bc6494.jpg,300,300,176,102
None,13,96,10,17,0658_jpg.rf.8319acaec474121594423d8179bc6494.jpg,300,300,23,113
Mask,113,89,8,7,0658_jpg.rf.8319acaec474121594423d8179bc6494.jpg,300,300,121,96
Mask,176,50,34,38,0661_jpg.rf.4bd8e1134aa2908100e6aec5fa35258a.jpg,300,300,210,88
Helmet,33,19,22,19,0661_jpg.rf.4bd8e1134aa2908100e6aec5fa35258a.jpg,300,300,55,38
None,64,24,16,24,0661_jpg.rf.4bd8e1134aa2908100e6aec5fa35258a.jpg,300,300,80,48
None,86,91,12,19,0661_jpg.rf.4bd8e1134aa2908100e6aec5fa35258a.jpg,300,300,98,110
Mask,131,157,84,101,0671_jpg.rf.c43e18585ab0cf5a0800832e58d97670.jpg,300,300,215,258
Mask,55,107,47,54,0671_jpg.rf.c43e18585ab0cf5a0800832e58d97670.jpg,300,300,102,161
None,238,198,37,64,0752_jpg.rf.c642f333753cc1947e6df138d61eac81.jpg,300,300,275,262
None,180,67,11,26,0752_jpg.rf.c642f333753cc1947e6df138d61eac81.jpg,300,300,191,93
None,9,74,15,25,0752_jpg.rf.c642f333753cc1947e6df138d61eac81.jpg,300,300,24,99
Mask,186,124,20,23,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,206,147
Mask,138,101,22,24,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,160,125
Mask,100,124,16,21,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,116,145
Mask,44,101,15,22,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,59,123
Mask,0,97,10,15,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,10,112
None,274,81,15,26,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,289,107
None,216,100,12,19,0818_jpg.rf.fe26e4714462c814f99a536130c3b4ba.jpg,300,300,228,119
None,193,107,16,18,0819_jpg.rf.1904d0034bd85faf895b39320712adc0.jpg,300,300,209,125
Mask,132,42,20,24,0819_jpg.rf.1904d0034bd85faf895b39320712adc0.jpg,300,300,152,66
Mask,64,112,16,19,0819_jpg.rf.1904d0034bd85faf895b39320712adc0.jpg,300,300,80,131
None,265,110,16,32,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,281,142
None,220,101,12,27,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,232,128
None,173,100,15,27,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,188,127
None,138,114,15,28,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,153,142
None,101,111,13,28,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,114,139
None,59,120,16,28,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,75,148
None,26,110,12,29,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,38,139
Mask,53,112,12,12,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,65,124
None,75,34,13,16,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,88,50
None,15,48,10,11,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,25,59
None,6,45,7,15,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,13,60
None,83,95,9,20,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,92,115
None,69,80,8,13,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,77,93
None,45,88,10,11,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,55,99
None,138,87,8,17,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,146,104
None,260,76,15,22,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,275,98
None,217,11,10,22,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,227,33
None,201,26,13,28,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,214,54
None,187,17,10,19,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,197,36
None,234,12,6,15,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,240,27
None,165,77,8,17,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,173,94
None,124,60,7,13,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,131,73
Mask,145,68,9,9,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,154,77
Mask,92,47,9,7,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,101,54
Mask,35,47,8,7,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,43,54
None,102,61,8,10,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,110,71
None,117,81,8,18,0836_jpg.rf.495bab0a95ad2d31991a26d5b6d32610.jpg,300,300,125,99
Mask,240,57,40,68,0838_jpg.rf.41db49a0e2d708a969fa220d55bd416c.jpg,300,300,280,125
Mask,134,38,13,23,0838_jpg.rf.41db49a0e2d708a969fa220d55bd416c.jpg,300,300,147,61
Mask,193,58,10,16,0838_jpg.rf.41db49a0e2d708a969fa220d55bd416c.jpg,300,300,203,74
Mask,148,59,13,15,0838_jpg.rf.41db49a0e2d708a969fa220d55bd416c.jpg,300,300,161,74
Mask,102,85,16,19,0838_jpg.rf.41db49a0e2d708a969fa220d55bd416c.jpg,300,300,118,104
Mask,23,46,15,21,0838_jpg.rf.41db49a0e2d708a969fa220d55bd416c.jpg,300,300,38,67
Mask,260,149,23,20,0839_jpg.rf.6595433cb542653151b676c1b732a040.jpg,300,300,283,169
None,72,20,147,187,0848_jpg.rf.e3a90e0850c9547ca8d61d5813d0105a.jpg,300,300,219,207
Mask,110,96,12,8,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,122,104
Mask,166,82,7,8,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,173,90
Mask,217,80,7,7,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,224,87
Mask,5,160,15,12,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,20,172
Mask,216,166,8,12,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,224,178
Mask,279,136,7,8,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,286,144
None,274,67,8,13,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,282,80
None,58,115,10,18,0849_jpg.rf.8384efe2c71015e5dd52b12b0cd4dc3f.jpg,300,300,68,133
Mask,113,152,12,12,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,125,164
Mask,30,135,10,13,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,40,148
Mask,65,137,10,12,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,75,149
Mask,127,146,9,8,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,136,154
None,180,147,7,12,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,187,159
None,160,144,8,15,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,168,159
None,148,147,8,10,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,156,157
Mask,51,133,10,10,0858_jpg.rf.815aacbcb389e7e2999f222cd8e9ad67.jpg,300,300,61,143
Mask,78,80,8,10,0860_jpg.rf.37ea7dcdafba5546df760f1869e7fc39.jpg,300,300,86,90
Mask,46,61,8,8,0860_jpg.rf.37ea7dcdafba5546df760f1869e7fc39.jpg,300,300,54,69
Mask,225,74,9,12,0860_jpg.rf.37ea7dcdafba5546df760f1869e7fc39.jpg,300,300,234,86
Mask,268,138,22,23,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,290,161
Mask,182,117,23,25,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,205,142
Mask,6,100,11,12,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,17,112
None,135,112,15,19,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,150,131
None,117,77,8,24,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,125,101
None,109,82,11,22,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,120,104
None,67,99,9,23,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,76,122
None,57,71,12,21,0871_jpg.rf.5438f033a3d254e00379a6227f329ca2.jpg,300,300,69,92
None,6,133,12,13,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,18,146
None,96,129,6,14,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,102,143
None,220,136,7,15,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,227,151
None,295,146,5,13,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,300,159
None,120,144,9,14,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,129,158
None,74,145,12,14,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,86,159
None,185,165,7,12,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,192,177
None,234,149,8,17,0879_jpg.rf.1fa6463fa7076e059eb78f16df35e597.jpg,300,300,242,166
None,45,180,7,10,0883_jpg.rf.39a8c7ea59051c113ffb7fce3158d24a.jpg,300,300,52,190
None,92,187,5,11,0883_jpg.rf.39a8c7ea59051c113ffb7fce3158d24a.jpg,300,300,97,198
None,176,183,7,13,0883_jpg.rf.39a8c7ea59051c113ffb7fce3158d24a.jpg,300,300,183,196
Mask,142,195,4,5,0883_jpg.rf.39a8c7ea59051c113ffb7fce3158d24a.jpg,300,300,146,200
Mask,156,130,7,8,0886_jpg.rf.f5684c5cbe92fdefb7c574c0b619313b.jpg,300,300,163,138
Mask,170,154,12,10,0886_jpg.rf.f5684c5cbe92fdefb7c574c0b619313b.jpg,300,300,182,164
Mask,208,146,25,18,0886_jpg.rf.f5684c5cbe92fdefb7c574c0b619313b.jpg,300,300,233,164
Mask,240,180,34,27,0886_jpg.rf.f5684c5cbe92fdefb7c574c0b619313b.jpg,300,300,274,207
Mask,129,75,23,25,0886_jpg.rf.f5684c5cbe92fdefb7c574c0b619313b.jpg,300,300,152,100
Mask,48,56,27,24,0886_jpg.rf.f5684c5cbe92fdefb7c574c0b619313b.jpg,300,300,75,80
None,165,40,15,31,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,180,71
None,192,66,12,17,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,204,83
None,249,109,15,25,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,264,134
None,246,93,15,23,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,261,116
None,122,54,17,33,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,139,87
None,40,87,9,17,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,49,104
None,26,101,10,16,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,36,117
None,33,124,9,17,0896_jpg.rf.bc8eb6308fadf8a0c0d73ec40ee9519c.jpg,300,300,42,141
Mask,272,162,16,11,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,288,173
Mask,241,121,13,12,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,254,133
Mask,187,171,9,12,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,196,183
Mask,160,145,13,10,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,173,155
Mask,13,170,15,12,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,28,182
Mask,127,69,11,11,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,138,80
Mask,158,86,11,12,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,169,98
Mask,185,16,13,17,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,198,33
Mask,265,238,19,16,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,284,254
None,10,0,15,21,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,25,21
None,227,53,14,26,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,241,79
None,134,21,15,23,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,149,44
None,168,44,21,22,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,189,66
None,88,42,14,21,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,102,63
None,58,31,12,20,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,70,51
None,56,136,15,16,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,71,152
None,220,269,16,25,0897_jpg.rf.cffb3a6a1af9d8ec777f6774551797cc.jpg,300,300,236,294
